case_id,explainability_score_mean,explainability_score_median
1041064153850317,0.3001137414727594,0.3041555904936093
1040237250879902,0.2925614898076052,0.279716908441679
1102224550126222,0.27492594825154726,0.2697174156305988
1095905450128467,0.19440877682807264,0.19146248753252543
1026887757765703,0.18032456651386417,0.18099833159034864
1093360950205123,0.17804936210187622,0.1806438980649791
1026887751513702,0.16402476327553703,0.15987521690238815
1093360955736427,0.16329465096055254,0.16515929486165684
1088569656443683,0.15474476784093932,0.15038367877200107
1105227354389393,0.13397457758030473,0.13277436614348254
1043978155811525,0.13249986861396934,0.1275063957468772
1026887750239281,0.12954152552462916,0.13070648373053306
1026887754137212,0.11255052787185964,0.11392391770791152
1088569652937462,0.11195792992581646,0.11029333426008775
1043978151129150,0.10004945019550956,0.10040624977381434
1093360954422699,0.09391522875340944,0.09180475776958355
1075418456625924,0.09085776120533297,0.09005116090066725
1086720259071382,0.0869932403129084,0.08751874128933383
1086720253652133,0.08475173867397667,0.0866890187025362
1026887753452091,0.06898919636099173,0.06979284655083315
1102224550078440,0.0684557489815158,0.06744627663341601
1093360950636786,0.06766989595978912,0.06946444353178911
1088636254849848,0.06417627692877002,0.06393120000521585
1093360956535476,0.05568895012573832,0.05650696030815336
1093360957629869,-0.03945820782738203,-0.03941480953412102
1102224552391187,-0.039478831066193695,-0.03902453688838843
1053232652195893,-0.039523591322285875,-0.03953443980307017
1105293550367895,-0.039562604982504856,-0.039277744236932394
1041064159980986,-0.03959442581235302,-0.03960535453474521
1027414558307391,-0.03960659707852194,-0.039294099213301945
1093360955646831,-0.039609221511826324,-0.039349598439642544
1093360957695180,-0.03962872718971455,-0.039529933124872574
1093360954694185,-0.039650792389018766,-0.03939954611929981
1086720251723789,-0.039665620593652154,-0.03954206253293843
1027414553356050,-0.0396656569328349,-0.03952181940049919
1093360950290463,-0.039682361610154405,-0.03976969415755753
1004616653492798,-0.03968450769894682,-0.03963092785127873
1065000155609649,-0.03968585547531495,-0.03941180096465449
1044929752837403,-0.039711820171173653,-0.03937252830647085
1095905459281953,-0.03971264771289211,-0.03920858136492258
1040237259239338,-0.03971355116568198,-0.03958960025356299
1102224555490259,-0.039716723609509834,-0.03926400486414258
1043978156140154,-0.039722820683360534,-0.03965595761266126
1044929756486000,-0.03972495155422877,-0.039426612026928425
1093360959243134,-0.039727286932950676,-0.039522645426330195
1041064156031350,-0.03972810874108755,-0.03957012893571459
1088569659532499,-0.03973616151470095,-0.039409917066909536
1043978155725911,-0.039738604066289575,-0.039445636536871054
1093360950289849,-0.039740192302094954,-0.039447412196723805
1026887757976739,-0.03974176114679374,-0.039512297505507096
1086720257163975,-0.03975037420938762,-0.03946605094121111
1093360951002383,-0.039756048611307,-0.03969936870979149
1093360952402828,-0.039773085251216665,-0.03955794486767632
1026887754103072,-0.03977473259735948,-0.03966582159037353
1071547752467293,-0.039782643567902544,-0.03948776656639051
1093360959885828,-0.039786139794905,-0.0395624989596829
1075418456348027,-0.03979207605841912,-0.03940930987074877
1093360953512860,-0.039795262889372934,-0.03924720264522157
1105227353537165,-0.03979713691386204,-0.039550804375206396
1027414556140866,-0.039797766609843695,-0.03928455717802865
1093360954300688,-0.03979824311412257,-0.0395308822016912
1043978156925922,-0.03980002568936561,-0.039574908458631305
1093360955438657,-0.039800285547235636,-0.03946927702072533
1102224550146341,-0.0398039012257337,-0.0397248401792914
1041064156839020,-0.039807641304930676,-0.0395036094254855
1088636252555178,-0.03980864277696461,-0.03945024001849798
1027414559166131,-0.03980984620167689,-0.03945516355506356
1093360951115198,-0.03981174420263981,-0.039735128414001716
1105227359032183,-0.03981510623088204,-0.03934403946863713
1086720250482798,-0.039820990919824995,-0.03955955840269928
1052372556078456,-0.039823476093969835,-0.039542498712775
1105227353702175,-0.03983175076193326,-0.03961704063472374
1086720251707133,-0.03983180513179266,-0.039501391208565606
1093360952935265,-0.039832167717531404,-0.039373033268674695
1095905453881360,-0.0398343273954151,-0.039426313861906495
1075418454594848,-0.03983542137340052,-0.03939057883041417
1093360957290683,-0.039836445788648846,-0.03961400609056233
1093360954870311,-0.03985048587794518,-0.03929628380478073
1004616657379357,-0.039853415704952315,-0.039487839307094534
1004616650051329,-0.03985444881951369,-0.039556444017079626
1088569657959841,-0.039856240236594155,-0.039576381190768437
1093360952624179,-0.03986898870767629,-0.0397142416217105
1043978150501762,-0.03987304058613771,-0.03928606315291787
1052372559223989,-0.03987375297337121,-0.03946469323426488
1102224551656138,-0.039889076654625544,-0.039538793471802475
1053232651742525,-0.0398924092017768,-0.039510351332399954
1093360959225625,-0.03989427392283443,-0.03966955934906985
1102224553978610,-0.03989830293334855,-0.039714780196568045
1043978156498272,-0.03990038944155116,-0.03972651048489091
1040237256446284,-0.0399035161089399,-0.0396307931340625
1102224558274962,-0.03991029477992685,-0.03986965172882142
1040237258736291,-0.03992685268317422,-0.039845652051028135
1093360951816597,-0.039930685232434614,-0.03938470706759097
1088636256034024,-0.03994792961497973,-0.039683794283755465
1044929754773340,-0.03995683971714584,-0.03960282320899655
1093360958929044,-0.03995888546070435,-0.039502372116519135
1093360956058164,-0.03997537615726397,-0.039746013550235985
1097544659969148,-0.03998852988469091,-0.039582815979947325
1071547759170987,-0.03999558212469992,-0.03949001862015497
1086720259535316,-0.04000711848453238,-0.039472967737381334
1086720257761141,-0.04002506767380372,-0.0394936223835924
1102224558402174,-0.04002572122281356,-0.039727107416530974
1097544651473674,-0.04003585478203227,-0.03946300493556381
