case_id,explainability_score_mean,explainability_score_median,score_group
1041064153850317,0.3001137414727594,0.3041555904936093,top
1040237250879902,0.2925614898076052,0.279716908441679,top
1102224550126222,0.27492594825154726,0.2697174156305988,top
1095905450128467,0.19440877682807264,0.19146248753252543,top
1026887757765703,0.18032456651386417,0.18099833159034864,top
1093360950205123,0.17804936210187622,0.1806438980649791,top
1026887751513702,0.16402476327553703,0.15987521690238815,top
1093360955736427,0.16329465096055254,0.16515929486165684,top
1088569656443683,0.15474476784093932,0.15038367877200107,top
1105227354389393,0.13397457758030473,0.13277436614348254,top
1043978155811525,0.13249986861396934,0.1275063957468772,top
1026887750239281,0.12954152552462916,0.13070648373053306,top
1026887754137212,0.11255052787185964,0.11392391770791152,top
1088569652937462,0.11195792992581646,0.11029333426008775,top
1043978151129150,0.10004945019550956,0.10040624977381434,top
1093360951816597,-0.039930685232434614,-0.03938470706759097,bottom
1088636256034024,-0.03994792961497973,-0.039683794283755465,bottom
1044929754773340,-0.03995683971714584,-0.03960282320899655,bottom
1093360958929044,-0.03995888546070435,-0.039502372116519135,bottom
1093360956058164,-0.03997537615726397,-0.039746013550235985,bottom
1097544659969148,-0.03998852988469091,-0.039582815979947325,bottom
1071547759170987,-0.03999558212469992,-0.03949001862015497,bottom
1086720259535316,-0.04000711848453238,-0.039472967737381334,bottom
1086720257761141,-0.04002506767380372,-0.0394936223835924,bottom
1102224558402174,-0.04002572122281356,-0.039727107416530974,bottom
1097544651473674,-0.04003585478203227,-0.03946300493556381,bottom
1040237251966612,-0.04006814330530782,-0.039795085061430376,bottom
1101693551683155,-0.040085710806921554,-0.03973706741981042,bottom
1026887759301985,-0.04011114420968869,-0.039744372824908974,bottom
1093360955447530,-0.04024318768677482,-0.039944279893720076,bottom
