case_id,n_reviewed,n_supported,n_unsupported,n_uncertain,hallucination_binary_strict,hallucination_binary_lenient,hallucination_count_strict,hallucination_count_lenient,hallucination_rate_strict,hallucination_rate_lenient,generated_observation_count,reference_observation_count,shared_observation_count,generated_only_count,reference_only_count,precision_obs,recall_obs,f1_obs,jaccard_obs,explainability_score_mean,composite_score,score_z,composite_z
1004616657379357,9,0,4,5,1,1,4,9,0.4444444444444444,1.0,8,2,0,8,2,0.0,0.0,,0.0,-0.507901658092646,-0.5285327474010243,-0.5405035453868896,-0.5500046200175568
1026887750239281,9,4,1,4,1,1,1,5,0.1111111111111111,0.5555555555555556,11,7,2,9,5,0.1818181818181818,0.2857142857142857,0.2222222222222222,0.125,1.8484375266570146,1.48095943337178,1.7504210003144762,1.6502614518837173
1026887751513702,6,0,0,6,0,1,0,6,0.0,1.0,7,2,1,6,1,0.1428571428571428,0.5,0.2222222222222222,0.125,1.843469243309757,2.041747948936283,1.7455906421283984,2.2642891928794215
1026887754137212,5,0,0,5,0,1,0,5,0.0,1.0,6,4,1,5,3,0.1666666666666666,0.25,0.2,0.1111111111111111,1.6275883449735333,1.270663740035091,1.535702841531873,1.4200010490103283
1026887757976739,6,0,0,6,0,1,0,6,0.0,1.0,6,3,0,6,3,0.0,0.0,,0.0,-0.512007072370544,-0.5285327474010243,-0.5444949887242412,-0.5500046200175568
1040237251966612,7,0,0,7,0,1,0,7,0.0,1.0,7,1,0,7,1,0.0,0.0,,0.0,-0.5082063906225097,-0.5285327474010243,-0.5407998181972968,-0.5500046200175568
1040237256446284,5,0,0,5,0,1,0,5,0.0,1.0,5,2,0,5,2,0.0,0.0,,0.0,-0.5097066598337157,-0.5285327474010243,-0.542258438239503,-0.5500046200175568
1040237259239338,7,0,0,7,0,1,0,7,0.0,1.0,7,2,0,7,2,0.0,0.0,,0.0,-0.5092917321411151,-0.5285327474010243,-0.541855029408626,-0.5500046200175568
1041064153850317,3,0,0,3,0,1,0,3,0.0,1.0,5,4,2,3,2,0.4,0.5,0.4444444444444445,0.2857142857142857,4.439248911481323,3.4296995249584303,4.2693085328014995,3.7840078518437914
1041064156839020,4,2,1,1,1,1,1,2,0.25,0.5,4,3,0,4,3,0.0,0.0,,0.0,-0.5084539550690257,-0.5285327474010243,-0.5410405099749649,-0.5500046200175568
1043978150501762,7,0,0,7,0,1,0,7,0.0,1.0,7,4,0,7,4,0.0,0.0,,0.0,-0.5061687805221886,-0.5285327474010243,-0.538818774456393,-0.5500046200175568
1043978151129150,6,0,0,6,0,1,0,6,0.0,1.0,7,4,1,6,3,0.1428571428571428,0.25,0.1818181818181818,0.1,1.3890370711166384,1.1421497052182257,1.3037740206625845,1.2792863583654792
1043978155725911,5,1,0,4,0,1,0,4,0.0,0.8,5,3,0,5,3,0.0,0.0,,0.0,-0.5076273171217958,-0.5285327474010243,-0.5402368204314673,-0.5500046200175568
1043978155811525,11,0,0,11,0,1,0,11,0.0,1.0,12,2,1,11,1,0.0833333333333333,0.5,0.1428571428571428,0.0769230769230769,1.2403812718122367,1.7204628618941196,1.1592450743668112,1.9125024662672991
1043978156498272,10,2,1,7,1,1,1,8,0.1,0.8,9,9,0,9,9,0.0,0.0,,0.0,-0.5067026350002034,-0.5285327474010243,-0.5393378085307029,-0.5500046200175568
1043978156925922,7,0,0,7,0,1,0,7,0.0,1.0,7,4,0,7,4,0.0,0.0,,0.0,-0.5075024864079739,-0.5285327474010243,-0.5401154551593524,-0.5500046200175568
1044929752837403,7,0,0,7,0,1,0,7,0.0,1.0,7,1,0,7,1,0.0,0.0,,0.0,-0.5107463484074958,-0.5285327474010243,-0.543269263883355,-0.5500046200175568
1044929754773340,6,0,1,5,1,1,1,6,0.1666666666666666,1.0,6,1,0,6,1,0.0,0.0,,0.0,-0.5082719305768539,-0.5285327474010243,-0.5408635386884312,-0.5500046200175568
1052372556078456,10,0,0,10,0,1,0,10,0.0,1.0,10,1,0,10,1,0.0,0.0,,0.0,-0.5106410189236105,-0.5285327474010243,-0.5431668584649922,-0.5500046200175568
1071547752467293,10,2,1,7,1,1,1,8,0.1,0.8,10,3,0,10,3,0.0,0.0,,0.0,-0.5050670864608612,-0.5285327474010243,-0.5377476646674105,-0.5500046200175568
1086720251707133,5,0,1,4,1,1,1,5,0.2,1.0,5,3,0,5,3,0.0,0.0,,0.0,-0.5070225541004962,-0.5285327474010243,-0.5396488463151794,-0.5500046200175568
1086720253652133,5,0,1,4,1,1,1,5,0.2,1.0,6,7,1,5,6,0.1666666666666666,0.1428571428571428,0.1538461538461538,0.0833333333333333,1.4352075771362505,0.8851216355844946,1.3486627812503431,0.9978569770757812
1086720257761141,6,0,0,6,0,1,0,6,0.0,1.0,6,1,0,6,1,0.0,0.0,,0.0,-0.511365325629407,-0.5285327474010243,-0.5438710575979797,-0.5500046200175568
1086720259071382,6,0,0,6,0,1,0,6,0.0,1.0,7,5,1,6,4,0.1428571428571428,0.2,0.1666666666666666,0.0909090909090909,1.297913153563754,0.9622300564746141,1.215179806054831,1.0822857914626909
1086720259535316,7,0,0,7,0,1,0,7,0.0,1.0,6,3,0,6,3,0.0,0.0,,0.0,-0.5088441526179901,-0.5285327474010243,-0.5414198751989449,-0.5500046200175568
1088569659532499,8,4,0,4,0,1,0,4,0.0,0.5,6,4,0,6,4,0.0,0.0,,0.0,-0.5077427762413135,-0.5285327474010243,-0.5403490742753281,-0.5500046200175568
1088636256034024,5,0,0,5,0,1,0,5,0.0,1.0,5,1,0,5,1,0.0,0.0,,0.0,-0.5079675387369861,-0.5285327474010243,-0.5405675971100804,-0.5500046200175568
1093360950205123,6,1,1,4,1,1,1,5,0.1666666666666666,0.8333333333333334,8,6,2,6,4,0.25,0.3333333333333333,0.2857142857142857,0.1666666666666666,2.623386437053841,2.0203289431334728,2.5038564530637086,2.240836744438614
1093360950289849,9,0,1,8,1,1,1,9,0.1111111111111111,1.0,9,2,0,9,2,0.0,0.0,,0.0,-0.5071809020253486,-0.5285327474010243,-0.5398027983226633,-0.5500046200175568
1093360950636786,6,3,2,1,1,1,2,3,0.3333333333333333,0.5,7,8,1,6,7,0.1428571428571428,0.125,0.1333333333333333,0.0714285714285714,1.1624626045928366,0.6923505833591966,1.0834895174178973,0.7867849411085078
1093360951002383,9,0,0,9,0,1,0,9,0.0,1.0,8,1,0,8,1,0.0,0.0,,0.0,-0.5080641100526079,-0.5285327474010243,-0.5406614874968297,-0.5500046200175568
1093360951816597,8,0,0,8,0,1,0,8,0.0,1.0,8,4,0,8,4,0.0,0.0,,0.0,-0.50725685275218,-0.5285327474010243,-0.5398766405714737,-0.5500046200175568
1093360952624179,12,0,0,12,0,1,0,12,0.0,1.0,11,2,0,11,2,0.0,0.0,,0.0,-0.509323188591961,-0.5285327474010243,-0.5418856125928423,-0.5500046200175568
1093360952935265,10,0,1,9,1,1,1,10,0.1,1.0,9,2,0,9,2,0.0,0.0,,0.0,-0.5097323758616202,-0.5285327474010243,-0.5422834403614072,-0.5500046200175568
1093360953512860,5,2,0,3,0,1,0,3,0.0,0.6,4,2,0,4,2,0.0,0.0,,0.0,-0.5098099664798338,-0.5285327474010243,-0.5423588769763614,-0.5500046200175568
1093360954300688,9,1,0,8,0,1,0,8,0.0,0.8888888888888888,9,1,0,9,1,0.0,0.0,,0.0,-0.5116010839805613,-0.5285327474010243,-0.5441002710308374,-0.5500046200175568
1093360954422699,10,1,0,9,0,1,0,9,0.0,0.9,11,3,1,10,2,0.0909090909090909,0.3333333333333333,0.1428571428571428,0.0769230769230769,1.0153152321421628,1.1616215286753264,0.9404271223414756,1.300606766038941
1093360954694185,11,0,0,11,0,1,0,11,0.0,1.0,11,4,0,11,4,0.0,0.0,,0.0,-0.50838649104923,-0.5285327474010243,-0.5409749188326107,-0.5500046200175568
1093360954870311,8,3,0,5,0,1,0,5,0.0,0.625,8,4,0,8,4,0.0,0.0,,0.0,-0.5110792380147396,-0.5285327474010243,-0.5435929120988494,-0.5500046200175568
1093360955447530,5,0,0,5,0,1,0,5,0.0,1.0,5,2,0,5,2,0.0,0.0,,0.0,-0.5096711298522503,-0.5285327474010243,-0.5422238946104814,-0.5500046200175568
1093360955646831,9,2,0,7,0,1,0,7,0.0,0.7777777777777778,9,7,0,9,7,0.0,0.0,,0.0,-0.5101984774767102,-0.5285327474010243,-0.5427366024688455,-0.5500046200175568
1093360955736427,8,1,1,6,1,1,1,7,0.125,0.875,9,6,2,7,4,0.2222222222222222,0.3333333333333333,0.2666666666666666,0.1538461538461538,2.346495505099312,1.8703959025137964,2.234652326339419,2.076669605352957
1093360956535476,8,2,1,5,1,1,1,6,0.125,0.75,9,7,1,8,6,0.1111111111111111,0.1428571428571428,0.125,0.0666666666666666,0.8728881337404399,0.5852555543451422,0.8019539611712615,0.6695226989044671
1093360957290683,6,1,2,3,1,1,2,5,0.3333333333333333,0.8333333333333334,6,3,0,6,3,0.0,0.0,,0.0,-0.5096347773725862,-0.5285327474010243,-0.5421885513167406,-0.5500046200175568
1093360957695180,4,2,2,0,1,1,2,2,0.5,0.5,4,3,0,4,3,0.0,0.0,,0.0,-0.5058545944883001,-0.5285327474010243,-0.5385133105819176,-0.5500046200175568
1093360958929044,10,1,0,9,0,1,0,9,0.0,0.9,10,3,0,10,3,0.0,0.0,,0.0,-0.5112026609273297,-0.5285327474010243,-0.5437129086518858,-0.5500046200175568
1093360959225625,5,0,0,5,0,1,0,5,0.0,1.0,5,2,0,5,2,0.0,0.0,,0.0,-0.5078088214485567,-0.5285327474010243,-0.5404132859929699,-0.5500046200175568
1097544651473674,6,1,0,5,0,1,0,5,0.0,0.8333333333333334,6,3,0,6,3,0.0,0.0,,0.0,-0.5078921531292643,-0.5285327474010243,-0.5404943042920345,-0.5500046200175568
1097544659969148,7,1,1,5,1,1,1,6,0.1428571428571428,0.8571428571428571,7,4,0,7,4,0.0,0.0,,0.0,-0.5090267282361539,-0.5285327474010243,-0.5415973823115902,-0.5500046200175568
1102224550078440,11,1,0,10,0,1,0,10,0.0,0.9090909090909092,12,4,1,11,3,0.0833333333333333,0.25,0.125,0.0666666666666666,0.7893550319450725,0.8208646181760622,0.7207398326959888,0.9274996317533569
1102224550146341,6,1,0,5,0,1,0,5,0.0,0.8333333333333334,6,4,0,6,4,0.0,0.0,,0.0,-0.5099953314986732,-0.5285327474010243,-0.5425390960527668,-0.5500046200175568
1105227354389393,5,2,0,3,0,1,0,3,0.0,0.6,6,3,1,5,2,0.1666666666666666,0.3333333333333333,0.2222222222222222,0.125,1.7820233655025497,1.5705298212744436,1.685850571339034,1.7483353271816424
1105293557171514,7,0,0,7,0,1,0,7,0.0,1.0,7,1,0,7,1,0.0,0.0,,0.0,-0.5120247194316025,-0.5285327474010243,-0.544512145882939,-0.5500046200175568
1105293557502393,6,3,1,2,1,1,1,3,0.1666666666666666,0.5,7,6,2,5,4,0.2857142857142857,0.3333333333333333,0.3076923076923076,0.1818181818181818,2.982990567306273,2.2130999953587707,2.8534775662136016,2.4519087804058874
1105293558831403,5,0,1,4,1,1,1,5,0.2,1.0,5,3,0,5,3,0.0,0.0,,0.0,-0.5112423155053593,-0.5285327474010243,-0.5437514623740092,-0.5500046200175568
1105293559503672,9,0,3,6,1,1,3,9,0.3333333333333333,1.0,8,3,0,8,3,0.0,0.0,,0.0,-0.5104140486694724,-0.5285327474010243,-0.5429461891616447,-0.5500046200175568
1120464650533006,7,2,2,3,1,1,2,5,0.2857142857142857,0.7142857142857143,7,3,0,7,3,0.0,0.0,,0.0,-0.5085435160884407,-0.5285327474010243,-0.5411275846792536,-0.5500046200175568
