observation,generated_count,reference_count,count_diff_generated_minus_reference
pneumonia,12,17,-5
atelectasis,12,16,-4
acute process,0,13,-13
infection,8,12,-4
effusion,53,7,46
opacity,6,6,0
consolidation,5,6,-1
mild edema,3,6,-3
scarring,3,6,-3
fibrosis,0,6,-6
low,18,5,13
aspiration,5,5,0
mild congestion,4,5,-1
chronic disease,1,5,-4
edema,19,4,15
small effusion,10,4,6
congestion,5,4,1
opacities,3,4,-1
acute,0,4,-4
mild,0,4,-4
moderate effusion,0,4,-4
stable,11,3,8
cardiomegaly,1,3,-2
infectious,1,3,-2
chf,0,3,-3
infectious process,0,3,-3
small effusions,4,2,2
moderate cardiomegaly,2,2,0
subtle opacity,1,2,-1
changes,0,2,-2
chronic fibrosis,0,2,-2
disease,0,2,-2
fibrotic,0,2,-2
focal,0,2,-2
hazy opacity,0,2,-2
increasing atelectasis,0,2,-2
organizing pneumonia,0,2,-2
sarcoid,0,2,-2
sarcoidosis,0,2,-2
small,0,2,-2
superimposed edema,0,2,-2
pneumothorax,71,1,70
large effusion,15,1,14
increased opacity,9,1,8
enlarged,8,1,7
patchy opacity,4,1,3
change,3,1,2
loss,3,1,2
crowding,2,1,1
findings,2,1,1
hemorrhage,2,1,1
new consolidation,2,1,1
patchy opacities,2,1,1
asymmetric,1,1,0
asymmetric edema,1,1,0
chronic,1,1,0
chronic scarring,1,1,0
congestive failure,1,1,0
displaced fractures,1,1,0
greater,1,1,0
increased,1,1,0
left picc,1,1,0
new opacity,1,1,0
nodular opacity,1,1,0
opacification,1,1,0
overlying atelectasis,1,1,0
persistent opacities,1,1,0
superimposed consolidation,1,1,0
tip,1,1,0
acute aspiration,0,1,-1
acute change,0,1,-1
acute disease,0,1,-1
acute exacerbation disease,0,1,-1
acute superimposed pneumonia,0,1,-1
aeration,0,1,-1
artifact,0,1,-1
balloon pump device in place,0,1,-1
bronchiectasis,0,1,-1
bronchovasculature,0,1,-1
change opacity,0,1,-1
chronic changes,0,1,-1
chronic fibrotic changes,0,1,-1
chronic process,0,1,-1
chronic severe disease,0,1,-1
congestive,0,1,-1
consolidations,0,1,-1
decreased edema,0,1,-1
developing,0,1,-1
diffuse chronic disease,0,1,-1
displaced,0,1,-1
failure,0,1,-1
faint increased opacification,0,1,-1
fluid,0,1,-1
focal patchy opacities,0,1,-1
fracture,0,1,-1
frontal,0,1,-1
granulomatous,0,1,-1
granulomatous process,0,1,-1
greater atelectasis,0,1,-1
greater opacities,0,1,-1
hypertension,0,1,-1
improved aeration,0,1,-1
improved consolidation,0,1,-1
improved edema,0,1,-1
improved mild - to - moderate edema,0,1,-1
improved small effusion,0,1,-1
improvement,0,1,-1
improvement atelectasis,0,1,-1
improvement effusions,0,1,-1
improvement opacities,0,1,-1
improving consolidation,0,1,-1
improving pneumonia,0,1,-1
increased edema,0,1,-1
increased effusion,0,1,-1
increasing effusion,0,1,-1
increasing opacity,0,1,-1
infectious process superimposed on chronic changes,0,1,-1
infectious processes,0,1,-1
inflammation,0,1,-1
layering,0,1,-1
less opacification,0,1,-1
linear,0,1,-1
lines in place,0,1,-1
lines standard position,0,1,-1
little change subpulmonic effusion,0,1,-1
marked improvement,0,1,-1
mild cardiomegaly stable,0,1,-1
mild chronic congestive failure,0,1,-1
mild failure,0,1,-1
mild improvement congestion,0,1,-1
mild residual opacification,0,1,-1
mild rightward shift,0,1,-1
minimally,0,1,-1
moderate,0,1,-1
moderate effusions,0,1,-1
more,0,1,-1
more conspicuous opacity,0,1,-1
multifocal,0,1,-1
multifocal consolidation,0,1,-1
multifocal opacities,0,1,-1
multiple vertebroplasties,0,1,-1
nasogastric tube adequate position,0,1,-1
new abnormalities,0,1,-1
new focal consolidation,0,1,-1
new focal opacities,0,1,-1
new multifocal opacities,0,1,-1
new picc,0,1,-1
new pneumothorax,0,1,-1
non - resolving pneumonia,0,1,-1
old pneumonia,0,1,-1
opacities more prominent,0,1,-1
opacity silhouetting,0,1,-1
patchy streaky opacity,0,1,-1
persistent consolidations,0,1,-1
pneumonia superimposed,0,1,-1
post - pneumonic fibrosis,0,1,-1
post lobectomy,0,1,-1
postoperative status,0,1,-1
prior tuberculosis,0,1,-1
prominent congestion,0,1,-1
residual streaky opacity,0,1,-1
resolution distention,0,1,-1
resolving,0,1,-1
resolving pneumonia,0,1,-1
scarring superimposed acute process,0,1,-1
septic embolus,0,1,-1
severe,0,1,-1
severe bronchiectasis,0,1,-1
severe disease,0,1,-1
severe emphysema,0,1,-1
severe fibrosis,0,1,-1
slight improvement mild edema,0,1,-1
some,0,1,-1
some clearing pneumonia,0,1,-1
stable cardiomegaly,0,1,-1
stable findings,0,1,-1
stable large effusion,0,1,-1
stable markings,0,1,-1
stable pneumothorax,0,1,-1
standard positions endotracheal and orogastric tubes,0,1,-1
superimposed,0,1,-1
superimposed acute process,0,1,-1
tb,0,1,-1
trace edema,0,1,-1
tubes in place,0,1,-1
tubes standard position,0,1,-1
unchanged opacities,0,1,-1
underlying,0,1,-1
upward retraction,0,1,-1
worsening,0,1,-1
worsening chf,0,1,-1
worsening new pneumonia,0,1,-1
worsening pneumonia,0,1,-1
unchanged,28,0,28
normal,27,0,27
unremarkable,19,0,19
clear,18,0,18
focal consolidation,15,0,15
acute abnormalities,10,0,10
relatively low,9,0,9
acute abnormality,8,0,8
effusions,7,0,7
intact,6,0,6
