observation,shared_case_count,generated_only_case_count,reference_only_case_count
pneumonia,4,7,13
acute process,0,0,13
atelectasis,4,8,12
infection,3,5,9
effusion,1,52,6
consolidation,0,5,6
mild edema,0,3,6
scarring,0,3,6
fibrosis,0,0,6
opacity,1,5,5
aspiration,0,5,5
congestion,0,5,4
mild congestion,1,3,4
acute,0,0,4
mild,0,0,4
moderate effusion,0,0,4
edema,1,18,3
stable,0,11,3
opacities,1,2,3
cardiomegaly,0,1,3
infectious,0,1,3
chronic disease,1,0,3
chf,0,0,3
infectious process,0,0,3
low,3,14,2
moderate cardiomegaly,0,2,2
subtle opacity,0,1,2
changes,0,0,2
chronic fibrosis,0,0,2
disease,0,0,2
fibrotic,0,0,2
focal,0,0,2
hazy opacity,0,0,2
increasing atelectasis,0,0,2
organizing pneumonia,0,0,2
sarcoid,0,0,2
sarcoidosis,0,0,2
small,0,0,2
superimposed edema,0,0,2
increased opacity,0,7,1
small effusion,3,5,1
small effusions,1,3,1
change,0,3,1
crowding,0,2,1
findings,0,2,1
hemorrhage,0,2,1
asymmetric,0,1,1
asymmetric edema,0,1,1
chronic,0,1,1
chronic scarring,0,1,1
congestive failure,0,1,1
greater,0,1,1
increased,0,1,1
left picc,0,1,1
new consolidation,0,1,1
new opacity,0,1,1
nodular opacity,0,1,1
opacification,0,1,1
overlying atelectasis,0,1,1
persistent opacities,0,1,1
superimposed consolidation,0,1,1
tip,0,1,1
acute aspiration,0,0,1
acute change,0,0,1
acute disease,0,0,1
acute exacerbation disease,0,0,1
acute superimposed pneumonia,0,0,1
aeration,0,0,1
artifact,0,0,1
balloon pump device in place,0,0,1
bronchiectasis,0,0,1
bronchovasculature,0,0,1
change opacity,0,0,1
chronic changes,0,0,1
chronic fibrotic changes,0,0,1
chronic process,0,0,1
chronic severe disease,0,0,1
congestive,0,0,1
consolidations,0,0,1
decreased edema,0,0,1
developing,0,0,1
diffuse chronic disease,0,0,1
displaced,0,0,1
failure,0,0,1
faint increased opacification,0,0,1
fluid,0,0,1
focal patchy opacities,0,0,1
fracture,0,0,1
frontal,0,0,1
granulomatous,0,0,1
granulomatous process,0,0,1
greater atelectasis,0,0,1
greater opacities,0,0,1
hypertension,0,0,1
improved aeration,0,0,1
improved consolidation,0,0,1
improved edema,0,0,1
improved mild - to - moderate edema,0,0,1
improved small effusion,0,0,1
improvement,0,0,1
improvement atelectasis,0,0,1
improvement effusions,0,0,1
improvement opacities,0,0,1
improving consolidation,0,0,1
improving pneumonia,0,0,1
increased edema,0,0,1
increased effusion,0,0,1
increasing effusion,0,0,1
increasing opacity,0,0,1
infectious process superimposed on chronic changes,0,0,1
infectious processes,0,0,1
inflammation,0,0,1
layering,0,0,1
less opacification,0,0,1
linear,0,0,1
lines in place,0,0,1
lines standard position,0,0,1
little change subpulmonic effusion,0,0,1
marked improvement,0,0,1
mild cardiomegaly stable,0,0,1
mild chronic congestive failure,0,0,1
mild failure,0,0,1
mild improvement congestion,0,0,1
mild residual opacification,0,0,1
mild rightward shift,0,0,1
minimally,0,0,1
moderate,0,0,1
moderate effusions,0,0,1
more,0,0,1
more conspicuous opacity,0,0,1
multifocal,0,0,1
multifocal consolidation,0,0,1
multifocal opacities,0,0,1
multiple vertebroplasties,0,0,1
nasogastric tube adequate position,0,0,1
new abnormalities,0,0,1
new focal consolidation,0,0,1
new focal opacities,0,0,1
new multifocal opacities,0,0,1
new picc,0,0,1
new pneumothorax,0,0,1
non - resolving pneumonia,0,0,1
old pneumonia,0,0,1
opacities more prominent,0,0,1
opacity silhouetting,0,0,1
patchy streaky opacity,0,0,1
persistent consolidations,0,0,1
pneumonia superimposed,0,0,1
post - pneumonic fibrosis,0,0,1
post lobectomy,0,0,1
postoperative status,0,0,1
prior tuberculosis,0,0,1
prominent congestion,0,0,1
residual streaky opacity,0,0,1
resolution distention,0,0,1
resolving,0,0,1
resolving pneumonia,0,0,1
scarring superimposed acute process,0,0,1
