case_id,explainability_score_mean,explainability_score_median
1189309153024166,3.9692070523561798,3.9763309871090264
1040237250879902,3.9038757819392886,3.911799175907496
1218577550953777,3.619675639551395,3.620691823908728
1041064153850317,3.490836634858731,3.4970459126481432
1102224550126222,3.481083793748015,3.4863397779575065
1141323651499550,2.8260167608105897,2.8281497182516464
1188092357045176,2.677604249730054,2.675526862572728
1160762850790949,2.675561887587032,2.6763905072499137
1156909359234239,2.674041493533465,2.6766929603881096
1095905450128467,2.3990513278598113,2.4015004589000855
1105293557502393,2.2716260657366285,2.2791332651157843
1230366756230969,2.222198487162158,2.2252131894514777
1189309153774431,2.2216665521801846,2.2255314970177578
1147406553907259,2.2124196932181373,2.2128704581005687
1026887757765703,2.1624829945228585,2.1609609144981414
1026887751513702,2.0909379712089686,2.093445726752648
1120464655611611,2.0838117031555035,2.084656651519035
1093360950205123,2.0641070510413004,2.064623438241302
1141323655972946,1.9895697961124696,1.98962409397727
1156580358056251,1.9867803840476226,1.9890770545965046
1088569656443683,1.9850216200604593,1.9857374619919885
1137815055743226,1.9096038133517588,1.9060940858930377
1093360955736427,1.908741719525441,1.9106339792293066
1211086355875120,1.7813139611165885,1.7872963955806145
1043978155811525,1.7684136960898837,1.7713908319809817
1141323653155287,1.7633366236934687,1.766238359912614
1141323659735304,1.7585934894847441,1.7547214829645954
1105227354389393,1.6168073538103975,1.6196211987174316
1192422650241018,1.6123905384018875,1.6160586989254815
1193411452152296,1.6075176232530919,1.6162884090805774
1026887750239281,1.5245784867397079,1.524854680883585
1141323656921446,1.3839140269536765,1.3875428339297886
1088569652937462,1.3794094832440593,1.3770687468448712
1026887754137212,1.3014860883491368,1.304113214350299
1188092353367019,1.2987563935925395,1.2945152643168079
1218577553462705,1.2977050820742866,1.2962566470867714
1147406557174042,1.1969128644253442,1.1943045546699662
1093360954422699,1.1962689157150348,1.1993889658788177
1105293551137224,1.193483838357706,1.19653801474677
1141323657361873,1.1892825809244194,1.1935633368652037
1243354154729238,1.1829821071750273,1.1858382768842963
1043978151129150,1.1787572198130651,1.1818951182901785
1141323651644170,1.1607150438141658,1.1640420738611317
1141323653994053,1.1562711381807862,1.1528992376195113
1075418456625924,1.0835129108118098,1.081772134014321
1218577557024984,1.0780805677301386,1.0782127643328243
