case_id,explainability_score_mean,explainability_score_median,score_group,selected_model
1189309153024166,3.9692070523561798,3.9763309871090264,top,model_A_reduced
1040237250879902,3.9038757819392886,3.911799175907496,top,model_A_reduced
1218577550953777,3.619675639551395,3.620691823908728,top,model_A_reduced
1041064153850317,3.490836634858731,3.4970459126481432,top,model_A_reduced
1102224550126222,3.481083793748015,3.4863397779575065,top,model_A_reduced
1141323651499550,2.8260167608105897,2.8281497182516464,top,model_A_reduced
1188092357045176,2.677604249730054,2.675526862572728,top,model_A_reduced
1160762850790949,2.675561887587032,2.6763905072499137,top,model_A_reduced
1156909359234239,2.674041493533465,2.6766929603881096,top,model_A_reduced
1095905450128467,2.3990513278598113,2.4015004589000855,top,model_A_reduced
1105293557502393,2.2716260657366285,2.2791332651157843,top,model_A_reduced
1230366756230969,2.222198487162158,2.2252131894514777,top,model_A_reduced
1189309153774431,2.2216665521801846,2.2255314970177578,top,model_A_reduced
1147406553907259,2.2124196932181373,2.2128704581005687,top,model_A_reduced
1026887757765703,2.1624829945228585,2.1609609144981414,top,model_A_reduced
1120464650533006,-0.5200422189835346,-0.5223287895058208,bottom,model_A_reduced
1137815055092691,-0.5201352678467243,-0.5185331532898596,bottom,model_A_reduced
1141323658800563,-0.5203469504426791,-0.5168489739908702,bottom,model_A_reduced
1241006655755138,-0.5204535011594088,-0.5183939888899232,bottom,model_A_reduced
1040237256446284,-0.5206238343883023,-0.5204753697300106,bottom,model_A_reduced
1129351755101140,-0.5207106350657846,-0.5200368282592065,bottom,model_A_reduced
1044929752837403,-0.520834500009971,-0.5229683928782026,bottom,model_A_reduced
1097544651473674,-0.5211641676551354,-0.5260604085219378,bottom,model_A_reduced
1093360954300688,-0.5215154232730427,-0.5244705883636154,bottom,model_A_reduced
1192869253222889,-0.5216524874154325,-0.5185815928271069,bottom,model_A_reduced
1141323651568216,-0.5219617085786242,-0.5222353097926504,bottom,model_A_reduced
1156909351887095,-0.5220191511969887,-0.5191536660668326,bottom,model_A_reduced
1154028358773579,-0.522961583149876,-0.5202177756431587,bottom,model_A_reduced
1214513754833205,-0.5233468408916304,-0.5231687518849821,bottom,model_A_reduced
1187988654357764,-0.5234278553640532,-0.5269138770196176,bottom,model_A_reduced
